Season,Episode,Title,Rating
8,6,"The Iron Throne",4.1
8,4,"The Last of the Starks",5.5
8,5,"The Bells",6
8,3,"The Long Night",7.5
8,1,Winterfell,7.6
8,2,"A Knight of the Seven Kingdoms",7.9
5,6,"Unbowed, Unbent, Unbroken",8
6,6,"Blood of My Blood",8.4
6,8,"No One",8.4
2,2,"The Night Lands",8.5
5,1,"The Wars to Come",8.5
5,2,"The House of Black and White",8.5
6,1,"The Red Woman",8.5
5,3,"High Sparrow",8.5
5,5,"Kill the Boy",8.6
3,2,"Dark Wings, Dark Words",8.6
7,1,Dragonstone,8.6
6,7,"The Broken Man",8.6
3,7,"The Bear and the Maiden Fair",8.7
1,3,"Lord Snow",8.7
6,3,Oathbreaker,8.7
5,4,"Sons of the Harpy",8.7
4,5,"First of His Name",8.7
2,5,"The Ghost of Harrenhal",8.8
1,2,"The Kingsroad",8.8
1,4,"Cripples, Bastards, and Broken Things",8.8
4,4,Oathkeeper,8.8
2,3,"What Is Dead May Never Die",8.8
3,6,"The Climb",8.8
7,5,Eastwatch,8.8
2,1,"The North Remembers",8.8
3,1,"Valar Dohaeris",8.8
2,4,"Garden of Bones",8.8
2,8,"The Prince of Winterfell",8.8
4,3,"Breaker of Chains",8.9
2,7,"A Man Without Honor",8.9
7,2,Stormborn,8.9
3,3,"Walk of Punishment",8.9
3,8,"Second Sons",9
5,7,"The Gift",9
3,5,"Kissed by Fire",9
1,8,"The Pointy End",9
7,6,"Beyond the Wall",9
1,5,"The Wolf and the Lion",9.1
4,7,Mockingbird,9.1
6,4,"Book of the Stranger",9.1
2,6,"The Old Gods and the New",9.1
5,10,"Mother's Mercy",9.1
1,1,"Winter Is Coming",9.1
4,1,"Two Swords",9.1
1,7,"You Win or You Die",9.2
1,6,"A Golden Crown",9.2
3,10,Mhysa,9.2
7,3,"The Queen's Justice",9.2
6,2,Home,9.4
2,10,"Valar Morghulis",9.4
7,7,"The Dragon and the Wolf",9.4
1,10,"Fire and Blood",9.5
5,9,"The Dance of Dragons",9.5
4,9,"The Watchers on the Wall",9.6
3,4,"And Now His Watch Is Ended",9.6
1,9,Baelor,9.6
4,10,"The Children",9.7
4,6,"The Laws of Gods and Men",9.7
6,5,"The Door",9.7
4,2,"The Lion and the Rose",9.7
2,9,Blackwater,9.7
4,8,"The Mountain and the Viper",9.7
7,4,"The Spoils of War",9.8
6,10,"The Winds of Winter",9.9
3,9,"The Rains of Castamere",9.9
5,8,Hardhome,9.9
6,9,"Battle of the Bastards",9.9
